year_week,product_name,sales
2025-00,09-286-8107,500
2025-00,09-335-7793,556
2025-00,09-536-2626,576
2025-00,09-618-2842,575
2025-00,09-622-7119,724
2025-00,09-712-3630,97
2025-00,10-002-6494,724
2025-00,10-034-7654,397
2025-00,10-137-9759,735
2025-00,10-218-2680,409
2025-00,10-249-7928,245
2025-00,10-255-8579,683
2025-00,10-378-9729,187
2025-00,10-445-0741,599
2025-00,10-555-5971,501
2025-00,10-617-7581,95
2025-00,10-626-8536,315
2025-00,10-768-2443,148
2025-00,10-854-5467,729
2025-00,11-032-9778,479
2025-00,11-053-0107,796
2025-00,11-073-0189,705
2025-00,11-155-7826,172
2025-00,11-316-8405,134
2025-00,11-325-7396,474
2025-00,11-338-4598,289
2025-00,11-581-9869,359
2025-00,11-604-6002,314
2025-00,11-733-1756,428
2025-00,11-745-3025,559
2025-00,11-766-8738,672
2025-00,11-815-7923,399
2025-00,11-891-8213,846
2025-00,11-922-3342,143
2025-00,12-046-2988,462
2025-00,12-093-9863,102
2025-00,12-239-9399,357
2025-00,12-342-4482,321
2025-00,12-439-8428,700
2025-00,12-714-5135,434
2025-00,12-798-9401,453
2025-00,12-828-1063,304
2025-00,12-998-3882,387
2025-00,13-144-2169,261
2025-00,13-202-4809,597
2025-00,13-409-9040,26
2025-00,13-673-7016,94
2025-00,13-798-3397,305
2025-00,13-844-2178,632
2025-00,13-888-0149,100
2025-00,13-900-9016,30
2025-00,13-962-6263,142
2025-00,13-980-8804,136
2025-00,14-115-8371,234
2025-00,14-305-5348,441
2025-00,14-305-9690,93
2025-00,14-331-3739,480
2025-00,14-489-8669,607
2025-00,14-521-4167,245
2025-00,14-550-2152,656
2025-00,14-681-7035,559
2025-00,14-836-2894,708
2025-00,14-844-4138,355
2025-00,15-045-8444,550
2025-00,15-082-9124,429
2025-00,15-144-9413,282
2025-00,15-169-8058,554
2025-00,15-240-6267,239
2025-00,15-562-3712,466
2025-00,15-679-3935,527
2025-00,15-762-1058,168
2025-00,15-796-3130,87
2025-00,15-797-4824,542
2025-00,15-846-7959,513
2025-00,15-884-7413,101
2025-00,15-905-7750,411
2025-00,15-907-3681,296
2025-00,16-187-5729,572
2025-00,16-354-8122,327
2025-00,16-380-0753,612
2025-00,16-499-5059,465
2025-00,16-632-1308,320
2025-00,17-002-4721,734
2025-00,17-022-9721,415
2025-00,17-236-0566,570
2025-00,17-253-5688,266
2025-00,17-265-1899,427
2025-00,17-274-6898,779
2025-00,17-395-1121,369
2025-00,17-493-4579,413
2025-00,17-504-3699,326
2025-00,17-647-0503,690
2025-00,18-107-7886,311
2025-00,18-199-5799,686
2025-00,18-278-2383,639
2025-00,19-021-5024,490
2025-00,19-047-4239,74
2025-00,19-112-1616,145
2025-00,19-214-5762,235
2025-00,19-244-9890,360
2025-00,19-323-0506,471
2025-00,19-377-5021,297
2025-00,19-610-2236,698
2025-00,19-672-8982,637
2025-00,19-854-3663,582
2025-00,19-967-0632,558
2025-00,20-022-3173,543
2025-00,20-031-0532,447
2025-00,20-054-3716,461
2025-00,20-225-3930,636
2025-00,20-283-0111,219
2025-00,20-325-1965,470
2025-00,20-387-7746,112
2025-00,20-405-4865,539
2025-00,20-448-2972,355
2025-00,21-013-3508,735
2025-00,21-120-6238,639
2025-00,21-252-1360,475
2025-00,21-633-8696,497
2025-00,21-650-9319,83
2025-00,21-693-8216,263
2025-00,21-718-6746,145
2025-00,21-809-7115,332
2025-00,21-816-1004,385
2025-00,21-890-2826,589
2025-00,21-993-5632,357
2025-00,22-083-3347,161
2025-00,22-141-9798,379
2025-00,22-266-9291,76
2025-00,22-319-1377,612
2025-00,22-329-7791,458
2025-00,22-621-2774,740
2025-00,22-760-4605,240
2025-00,22-778-3553,556
2025-00,22-849-2551,392
2025-00,22-895-6595,660
2025-00,23-070-2433,112
2025-00,23-265-8144,252
2025-00,23-395-3157,297
2025-00,24-009-1208,704
2025-00,24-143-4957,774
2025-00,24-228-6840,324
2025-00,24-310-9184,266
2025-00,24-364-3341,625
2025-00,24-478-8277,256
2025-00,24-571-1080,520
2025-00,24-579-6500,426
2025-00,24-972-6969,556
2025-00,24-975-4231,294
2025-00,24-986-5091,384
2025-00,24-989-3302,113
2025-00,25-010-9478,509
2025-00,25-349-7974,170
2025-00,25-353-2067,202
2025-00,25-522-6043,231
2025-00,25-911-7736,335
2025-00,26-000-1012,597
2025-00,26-010-9519,504
2025-00,26-031-8070,206
2025-00,26-134-9069,198
2025-00,26-161-6692,280
2025-00,26-177-5690,109
2025-00,26-456-1992,506
2025-00,26-535-4727,86
2025-00,26-629-5920,334
2025-00,26-690-3784,451
2025-00,26-799-3714,400
2025-00,27-216-9671,769
2025-00,27-262-2437,199
2025-00,27-269-5260,588
2025-00,27-387-0428,378
2025-00,27-389-3529,125
2025-00,27-442-3654,765
2025-00,27-459-0724,589
2025-00,27-474-0056,636
2025-00,27-495-1912,507
2025-00,27-635-8394,391
2025-00,27-681-5588,72
2025-00,27-757-4489,590
2025-00,27-783-5470,783
2025-00,27-881-1177,302
2025-00,28-003-8065,569
2025-00,28-008-2951,461
2025-00,28-044-4102,611
2025-00,28-107-4953,84
2025-00,28-146-2641,362
2025-00,28-185-7303,430
2025-00,28-197-9246,380
2025-00,28-275-5901,540
2025-00,28-433-8533,220
2025-00,28-505-8317,547
2025-00,28-608-0039,206
2025-00,28-824-9017,598
2025-00,28-840-6096,554
2025-00,28-956-1320,348
2025-00,28-968-4195,783
2025-00,28-986-8001,540
2025-00,29-017-6255,632
2025-00,29-092-3453,119
2025-00,29-135-0791,707
2025-00,29-205-1132,491
2025-00,29-344-3658,105
2025-00,29-377-7040,688
2025-00,29-436-6570,247
2025-00,29-592-7315,757
2025-00,29-741-8132,460
2025-00,29-756-7042,795
2025-00,29-823-6004,263
2025-00,29-875-6900,435
2025-00,29-896-7926,387
2025-00,30-429-2162,679
2025-00,30-591-7275,570
2025-00,30-806-3823,540
2025-00,30-832-5429,138
2025-00,30-964-2694,490
2025-00,30-996-2526,737
2025-00,31-157-1822,324
2025-00,31-211-5803,663
2025-00,31-255-9616,386
2025-00,31-387-5020,392
2025-00,31-403-6234,311
2025-00,31-608-1445,202
2025-00,31-627-6025,549
2025-00,31-745-6850,279
2025-00,31-746-4951,415
2025-00,31-803-5001,114
2025-00,31-969-4614,588
2025-00,32-261-0008,285
2025-00,32-270-1385,657
2025-00,32-676-1026,258
2025-00,32-933-0329,109
2025-00,32-987-5559,132
2025-00,33-335-9140,213
2025-00,33-378-1365,326
2025-00,33-440-2588,642
2025-00,33-507-9886,786
2025-00,33-670-6797,431
2025-00,33-807-7247,314
2025-00,34-075-0371,408
2025-00,34-086-3222,90
2025-00,34-110-1040,406
2025-00,34-131-8805,101
2025-00,34-291-4939,767
2025-00,34-369-7712,319
2025-00,34-538-1180,203
2025-00,34-547-0827,96
2025-00,34-709-9237,814
2025-00,34-861-4446,136
2025-00,34-928-2775,135
2025-00,35-031-1497,716
2025-00,35-257-9312,137
2025-00,35-299-0889,683
2025-00,35-328-8392,684
2025-00,35-353-4068,537
2025-00,35-529-2933,551
2025-00,35-617-3857,990
2025-00,35-621-2546,632
2025-00,35-835-5591,590
2025-00,35-836-6718,324
2025-00,36-127-4273,739
2025-00,36-177-0573,547
2025-00,36-296-9609,783
2025-00,36-330-5036,568
2025-00,36-372-2295,757
2025-00,36-383-3677,385
2025-00,36-531-4087,661
2025-00,36-636-4873,604
2025-00,36-679-4670,660
2025-00,36-840-2728,529
2025-00,36-899-5324,765
2025-00,36-918-2937,502
2025-00,37-064-7275,774
2025-00,37-246-0018,312
2025-00,37-248-6266,715
2025-00,37-567-3218,108
2025-00,37-606-0510,669
2025-00,37-610-1999,465
2025-00,37-666-3902,769
2025-00,37-709-3532,399
2025-00,38-049-9319,234
2025-00,38-296-6634,216
2025-00,38-390-2115,431
2025-00,38-417-4656,681
2025-00,38-555-9147,624
2025-00,38-617-7226,325
2025-00,38-655-2312,512
2025-00,38-664-2155,694
2025-00,38-732-7667,505
2025-00,38-822-8005,585
2025-00,38-924-3007,749
2025-00,39-192-3521,649
2025-00,39-232-5341,319
2025-00,39-315-3936,99
2025-00,39-358-3340,146
2025-00,39-449-0772,305
2025-00,39-479-5147,674
2025-00,39-629-5554,628
2025-00,39-768-8205,179
2025-00,39-810-2042,601
2025-00,39-913-2999,408
2025-00,40-003-7322,403
2025-00,40-021-2400,161
2025-00,40-126-0515,582
2025-00,40-205-8252,657
2025-00,40-462-2952,143
2025-00,40-630-1431,667
2025-00,40-681-9981,715
2025-00,40-683-0283,437
2025-00,40-751-8635,597
2025-00,40-793-7235,617
2025-00,40-795-0753,593
2025-00,40-810-9261,623
2025-00,40-860-4532,144
2025-00,40-902-1995,741
2025-00,40-913-9772,349
2025-00,40-997-2786,589
2025-00,41-131-3841,731
2025-00,41-237-5498,800
2025-00,41-240-8856,721
2025-00,41-316-8427,165
2025-00,41-475-5305,471
2025-00,41-526-4036,479
2025-00,41-538-3129,318
2025-00,41-594-5069,198
2025-00,41-729-5410,453
2025-00,41-735-9837,712
2025-00,42-134-9798,617
2025-00,42-141-5718,511
2025-00,42-175-1648,804
2025-00,42-220-9305,713
2025-00,42-495-7698,227
2025-00,42-674-3917,566
2025-00,42-879-9478,721
2025-00,42-887-6557,697
2025-00,42-907-6946,659
2025-00,43-153-8268,155
2025-00,43-164-5984,614
2025-00,43-193-9915,641
2025-00,43-469-7551,125
2025-00,43-670-8544,451
2025-00,43-693-2092,433
2025-00,43-703-9939,748
2025-00,43-851-9440,262
2025-00,43-893-5408,330
2025-00,43-910-2342,917
2025-00,44-112-3331,139
2025-00,44-128-2185,451
2025-00,44-305-1866,331
2025-00,44-368-7112,95
2025-00,44-408-7594,240
2025-00,44-476-0390,196
2025-00,44-480-9446,539
2025-00,44-538-3366,746
2025-00,44-546-5713,161
2025-00,44-552-3909,496
2025-00,44-634-8292,416
2025-00,44-637-5512,331
2025-00,44-782-1395,217
2025-00,45-050-4720,435
2025-00,45-172-7012,161
2025-00,45-194-4094,712
2025-00,45-250-4679,197
2025-00,45-317-9731,90
2025-00,45-380-4627,177
2025-00,45-402-0421,482
2025-00,45-634-0679,325
2025-00,45-852-2446,280
2025-00,45-992-5653,340
2025-00,46-083-7058,377
2025-00,46-255-3073,346
2025-00,46-415-8633,390
2025-00,46-436-5351,318
2025-00,46-452-9419,260
2025-00,46-496-2930,455
2025-00,46-520-1819,603
2025-00,46-622-3434,744
2025-00,46-632-8420,598
2025-00,46-753-8430,731
2025-00,46-911-1159,467
2025-00,46-931-6897,349
2025-00,47-221-2470,605
2025-00,47-221-3391,665
2025-00,47-441-7682,667
2025-00,47-548-6500,611
2025-00,47-554-5780,673
2025-00,47-578-4161,153
2025-00,47-581-0363,751
2025-00,47-663-5703,594
2025-00,47-749-3277,145
2025-00,47-802-5023,516
2025-00,47-843-8207,243
2025-00,47-866-6589,105
2025-00,48-193-1199,301
2025-00,48-242-8445,402
2025-00,48-289-0604,584
2025-00,48-414-6162,594
2025-00,48-427-0551,710
2025-00,48-461-3742,621
2025-00,48-770-6319,699
2025-00,48-789-9187,248
2025-00,48-957-6116,790
2025-00,48-957-8596,635
2025-00,49-199-6836,395
2025-00,49-311-3063,538
2025-00,49-377-9731,588
2025-00,49-526-7806,100
2025-00,49-570-8214,620
2025-00,49-579-4325,116
2025-00,49-730-0159,786
2025-00,49-861-7823,520
2025-00,49-891-4927,111
2025-00,49-919-8798,739
2025-00,50-329-3145,551
2025-00,50-329-3360,672
2025-00,50-364-5828,652
2025-00,50-679-2072,615
2025-00,50-772-2613,574
2025-00,50-930-4751,532
2025-00,50-942-2409,497
2025-00,51-000-8113,244
2025-00,51-069-0489,285
2025-00,51-273-4240,392
2025-00,51-312-8608,645
2025-00,51-459-5630,97
2025-00,51-462-0747,302
2025-00,51-469-4611,117
2025-00,51-572-5497,424
2025-00,51-583-6029,775
2025-00,51-761-6320,736
2025-00,51-934-9117,390
2025-00,52-029-2382,349
2025-00,52-123-8039,274
2025-00,52-392-5312,82
2025-00,52-402-9245,310
2025-00,52-481-5224,224
2025-00,52-797-6961,751
2025-00,53-008-2419,222
2025-00,53-050-8242,122
2025-00,53-080-8252,232
2025-00,53-146-9979,252
2025-00,53-151-5726,223
2025-00,53-446-8243,278
2025-00,53-667-4109,520
2025-00,53-680-5293,437
2025-00,53-710-7630,318
2025-00,53-805-9523,698
2025-00,53-930-2215,720
2025-00,54-109-8062,581
2025-00,54-281-3746,172
2025-00,54-374-9986,387
2025-00,54-708-7327,793
2025-00,54-758-4622,358
2025-00,54-822-9009,288
2025-00,54-830-6971,749
2025-00,55-154-4728,269
2025-00,55-164-7723,752
2025-00,55-522-8242,741
2025-00,55-631-7937,541
2025-00,55-680-0982,420
2025-00,55-697-5242,459
2025-00,55-803-3964,355
2025-00,55-936-2406,731
2025-00,56-054-8664,421
2025-00,56-191-6497,516
2025-00,56-213-0577,628
2025-00,56-303-5256,216
2025-00,56-635-6764,215
2025-00,56-657-4387,626
2025-00,56-668-5370,238
2025-00,56-810-0550,466
2025-00,56-831-6199,740
2025-00,56-875-3717,455
2025-00,56-894-3733,587
2025-00,56-937-8675,639
2025-00,57-101-0060,392
2025-00,57-167-0669,367
2025-00,57-359-3397,292
2025-00,57-394-1587,758
2025-00,57-394-4703,704
2025-00,57-437-1828,655
2025-00,57-562-2358,770
2025-00,57-613-5779,353
2025-00,57-763-5501,516
2025-00,57-779-4955,240
2025-00,57-861-4379,481
2025-00,57-903-6434,577
2025-00,58-005-5343,164
2025-00,58-063-8633,244
2025-00,58-122-2282,791
2025-00,58-182-6781,401
2025-00,58-219-0241,385
2025-00,58-229-1358,307
2025-00,58-946-5152,549
2025-00,59-075-2457,136
2025-00,59-725-4038,350
2025-00,59-857-6577,686
2025-00,60-198-7050,284
2025-00,60-285-3783,392
2025-00,60-311-5701,461
2025-00,60-327-4114,425
2025-00,60-343-3288,81
2025-00,60-343-7973,764
2025-00,60-456-8169,169
2025-00,60-550-4771,159
2025-00,60-632-8752,294
2025-00,60-644-6596,352
2025-00,60-747-8704,415
2025-00,60-771-0879,545
2025-00,60-911-3745,608
2025-00,61-293-6327,351
2025-00,61-317-9944,491
2025-00,61-582-7399,324
2025-00,61-607-7622,457
2025-00,61-680-9496,761
2025-00,61-796-6540,372
2025-00,61-801-8665,625
2025-00,61-827-4098,185
2025-00,62-100-2245,354
2025-00,62-393-9939,595
2025-00,62-509-0666,146
2025-00,62-777-6010,757
2025-00,62-795-7801,189
2025-00,62-816-8794,788
2025-00,62-998-7250,806
2025-00,63-162-9244,316
2025-00,63-168-6018,115
2025-00,63-270-7076,362
2025-00,63-822-5278,718
2025-00,63-874-9747,98
2025-00,63-890-1246,689
2025-00,63-897-8088,149
2025-00,63-918-8253,114
2025-00,63-936-0145,189
2025-00,63-956-0739,525
2025-00,64-109-7362,546
2025-00,64-119-7804,646
2025-00,64-418-8356,596
2025-00,64-478-4745,304
2025-00,64-493-5270,694
2025-00,64-854-8664,553
2025-00,65-145-9672,276
2025-00,65-235-7676,611
2025-00,65-282-0419,597
2025-00,65-368-2479,94
2025-00,65-464-5070,672
2025-00,65-527-9488,227
2025-00,65-644-1394,714
2025-00,65-674-6076,525
2025-00,65-718-0492,469
2025-00,65-759-3721,681
2025-00,65-780-5622,350
2025-00,65-854-9364,391
2025-00,65-867-4029,670
2025-00,66-268-8345,99
2025-00,66-312-5511,770
2025-00,66-327-2821,376
2025-00,66-378-7532,120
2025-00,66-627-9752,794
2025-00,66-716-8221,378
2025-00,66-806-6051,618
2025-00,66-854-5736,691
2025-00,66-993-4234,576
2025-00,67-025-1245,137
2025-00,67-027-7269,785
2025-00,67-130-4114,441
2025-00,67-248-6306,329
2025-00,67-270-7464,325
2025-00,67-382-4435,475
2025-00,67-473-7093,134
2025-00,67-512-9754,322
2025-00,67-546-1568,258
2025-00,67-625-9704,629
2025-00,67-710-5120,682
2025-00,67-725-6830,492
2025-00,67-984-5368,93
2025-00,68-418-6724,400
2025-00,68-436-1268,553
2025-00,68-636-4774,114
2025-00,68-732-5919,126
2025-00,68-734-1585,725
2025-00,68-761-6907,605
2025-00,68-973-8812,321
2025-00,68-977-2498,124
2025-00,68-977-6854,353
2025-00,69-171-1305,475
2025-00,69-287-9113,922
2025-00,69-468-5468,504
2025-00,69-561-2496,641
2025-00,69-578-7930,171
2025-00,69-674-5387,159
2025-00,69-743-0161,356
2025-00,69-834-2874,250
2025-00,69-895-3397,668
2025-00,70-005-5970,491
2025-00,70-145-2550,495
2025-00,70-149-6756,497
2025-00,70-206-4860,769
2025-00,70-534-7796,589
2025-00,70-542-4269,276
2025-00,70-587-1204,632
2025-00,70-612-2531,418
2025-00,70-815-4015,664
2025-00,70-854-6891,470
2025-00,70-871-4536,638
2025-00,71-015-9181,88
2025-00,71-067-3278,596
2025-00,71-074-6292,608
2025-00,71-085-4290,800
2025-00,71-300-2191,319
2025-00,71-436-5841,418
2025-00,71-516-1996,407
2025-00,71-594-6552,105
2025-00,71-631-5875,172
2025-00,71-954-4501,618
2025-00,71-999-2404,397
2025-00,72-066-4597,559
2025-00,72-341-1154,627
2025-00,72-404-5581,801
2025-00,72-780-6006,199
2025-00,72-810-9753,771
2025-00,72-970-0239,566
2025-00,72-989-2512,617
2025-00,73-010-8323,192
2025-00,73-117-6105,282
2025-00,73-118-1117,737
2025-00,73-401-5721,711
2025-00,73-561-2867,611
2025-00,73-567-6194,508
2025-00,73-751-4393,754
2025-00,73-874-7534,633
2025-00,73-942-0508,704
2025-00,73-997-6251,775
2025-00,74-132-5528,583
2025-00,74-181-4135,751
2025-00,74-234-0628,392
2025-00,74-294-3760,160
2025-00,74-305-1263,468
2025-00,74-404-0582,441
2025-00,74-430-8245,214
2025-00,74-548-9313,332
2025-00,74-562-7431,338
2025-00,74-587-2065,704
2025-00,74-610-2295,419
2025-00,74-642-2435,459
2025-00,74-666-5671,420
2025-00,74-711-7160,250
2025-00,74-818-3306,564
2025-00,74-845-3299,207
2025-00,74-943-9034,243
2025-00,75-029-9003,477
2025-00,75-080-4909,782
2025-00,75-094-1179,670
2025-00,75-152-8731,558
2025-00,75-672-4378,449
2025-00,75-927-9108,586
2025-00,76-027-4850,222
2025-00,76-070-1411,465
2025-00,76-090-4411,453
2025-00,76-264-0748,449
2025-00,76-325-9093,778
2025-00,76-340-4432,499
2025-00,76-401-7083,481
2025-00,76-459-2392,720
2025-00,76-476-9996,521
2025-00,76-540-6407,771
2025-00,76-584-4790,141
2025-00,76-623-7844,521
2025-00,76-854-0095,180
2025-00,76-954-1442,407
2025-00,77-013-1553,556
2025-00,77-224-2227,577
2025-00,77-312-6317,385
2025-00,77-377-1659,500
2025-00,77-777-4536,696
2025-00,77-827-0820,176
2025-00,77-937-1108,321
2025-00,77-959-1018,752
2025-00,78-237-0277,493
2025-00,78-362-8578,298
2025-00,78-614-4402,467
2025-00,78-689-8958,641
2025-00,78-953-2073,321
2025-00,78-956-4737,341
2025-00,79-136-9840,142
2025-00,79-350-5841,142
2025-00,79-400-6216,679
2025-00,79-428-8753,424
2025-00,79-494-2472,538
2025-00,79-569-8856,743
2025-00,79-741-0770,710
2025-00,79-884-8810,564
2025-00,79-920-2395,337
2025-00,80-020-8041,509
2025-00,80-025-6757,691
2025-00,80-039-1261,675
2025-00,80-072-8774,709
2025-00,80-227-6886,352
2025-00,80-334-0215,442
2025-00,80-371-3695,304
2025-00,80-374-5711,115
2025-00,80-375-9075,624
2025-00,80-441-7249,729
2025-00,80-459-5950,616
2025-00,80-658-6456,343
2025-00,80-698-0324,565
2025-00,80-988-4653,351
2025-00,81-268-5905,251
2025-00,81-354-4203,735
2025-00,81-573-0943,638
2025-00,81-578-7404,673
2025-00,81-605-6246,234
2025-00,81-844-2979,255
2025-00,82-041-7211,782
2025-00,82-231-4245,720
2025-00,82-243-3180,425
2025-00,82-342-7339,395
2025-00,82-380-5378,406
2025-00,82-395-5070,547
2025-00,82-538-4809,333
2025-00,82-678-8097,392
2025-00,82-711-0772,680
2025-00,82-811-7988,544
2025-00,82-931-7126,611
2025-00,82-948-2298,147
2025-00,82-977-7752,519
2025-00,83-108-1174,128
2025-00,83-117-7658,449
2025-00,83-321-7887,358
2025-00,83-400-9746,266
2025-00,83-553-9523,508
2025-00,83-556-0996,172
2025-00,83-568-3475,721
2025-00,83-573-4586,457
2025-00,83-625-3618,560
2025-00,83-704-6367,688
2025-00,83-716-2177,325
2025-00,83-727-0814,816
2025-00,83-763-5038,379
2025-00,83-917-7384,448
2025-00,83-966-3280,511
2025-00,84-075-7647,139
2025-00,84-151-2114,639
2025-00,84-198-7276,655
2025-00,84-269-9130,546
2025-00,84-272-0790,218
2025-00,84-327-7787,609
2025-00,84-546-7624,541
2025-00,84-624-0201,279
2025-00,84-629-1532,805
2025-00,85-207-4164,279
2025-00,85-212-2729,320
2025-00,85-237-3505,563
2025-00,85-440-3667,471
2025-00,85-510-2915,758
2025-00,85-561-4694,741
2025-00,85-781-5386,678
2025-00,85-806-0613,390
2025-00,85-806-8672,671
2025-00,85-835-3445,618
2025-00,86-257-4613,751
2025-00,86-273-9377,165
2025-00,86-330-0214,479
2025-00,86-482-6451,326
2025-00,86-672-4191,788
2025-00,86-692-2312,411
2025-00,86-978-6666,132
2025-00,87-013-6488,754
2025-00,87-097-5691,714
2025-00,87-104-0187,308
2025-00,87-199-2743,557
2025-00,87-272-6544,732
2025-00,87-391-9658,729
2025-00,87-423-8486,553
2025-00,87-675-1506,376
2025-00,87-698-0944,443
2025-00,87-762-1317,675
2025-00,87-791-5803,827
2025-00,87-903-3486,676
2025-00,87-997-0228,370
2025-00,88-069-5486,749
2025-00,88-183-5781,427
2025-00,88-304-2855,691
2025-00,88-401-3700,380
2025-00,88-408-0310,358
2025-00,88-586-8797,547
2025-00,88-602-8210,491
2025-00,88-746-9468,668
2025-00,88-807-8431,777
2025-00,88-951-9038,529
2025-00,88-977-0175,582
2025-00,89-181-4523,522
2025-00,89-328-9019,564
2025-00,89-335-0155,530
2025-00,89-388-3239,374
2025-00,89-543-3456,635
2025-00,89-602-6755,197
2025-00,89-624-7462,410
2025-00,89-673-1543,534
2025-00,89-713-6071,678
2025-00,89-922-4773,580
2025-00,90-128-7973,715
2025-00,90-230-9767,365
2025-00,90-303-1821,487
2025-00,90-343-9640,481
2025-00,90-492-0564,401
2025-00,90-737-0044,584
2025-00,90-773-9557,358
2025-00,90-865-9150,433
2025-00,91-105-7317,600
2025-00,91-127-7489,134
2025-00,91-257-3672,413
2025-00,91-290-9062,584
2025-00,91-417-0366,457
2025-00,91-426-3204,772
2025-00,91-553-1774,410
2025-00,91-848-0606,614
2025-00,92-152-5820,195
2025-00,92-291-7089,700
2025-00,92-362-3567,721
2025-00,92-455-2959,205
2025-00,92-551-8504,354
2025-00,92-652-3737,640
2025-00,92-791-0606,665
2025-00,92-837-8839,501
2025-00,92-995-8689,768
2025-00,93-014-4256,579
2025-00,93-015-0811,750
2025-00,93-166-3169,120
2025-00,93-198-5984,266
2025-00,93-218-8108,437
2025-00,93-342-8794,294
2025-00,93-571-7294,106
2025-00,93-682-2069,254
2025-00,93-772-3085,146
2025-00,93-813-2419,757
2025-00,93-815-0565,721
2025-00,93-966-7754,402
2025-00,94-020-6982,222
2025-00,94-029-2717,573
2025-00,94-071-2261,490
2025-00,94-092-3355,745
2025-00,94-190-5193,313
2025-00,94-355-3070,614
2025-00,94-525-6925,199
2025-00,94-528-8088,436
2025-00,94-598-3383,222
2025-00,94-658-4945,696
2025-00,94-697-2396,296
2025-00,95-090-2788,312
2025-00,95-130-9020,164
2025-00,95-252-9619,644
2025-00,95-262-6208,113
2025-00,95-349-0828,209
2025-00,95-354-8583,605
2025-00,95-356-1566,730
2025-00,95-357-2870,516
2025-00,95-449-1286,245
2025-00,95-640-0293,209
2025-00,95-738-4658,321
2025-00,96-164-0607,787
2025-00,96-209-1739,643
2025-00,96-316-7600,730
2025-00,96-334-2593,498
2025-00,96-503-7712,217
2025-00,96-682-8546,768
2025-00,96-774-0457,246
2025-00,96-961-2193,100
2025-00,97-040-3822,797
2025-00,97-093-4278,528
2025-00,97-283-4840,181
2025-00,97-300-7511,180
2025-00,97-710-2449,559
2025-00,97-772-2336,344
2025-00,98-064-4465,493
2025-00,98-148-0940,734
2025-00,98-235-2711,293
2025-00,98-445-7372,789
2025-00,98-499-2220,180
2025-00,98-546-7398,206
2025-00,98-556-5323,182
2025-00,98-575-4736,765
2025-00,98-652-9569,95
2025-00,98-858-6323,657
2025-00,98-909-9395,185
2025-00,99-033-5661,772
2025-00,99-048-8310,734
2025-00,99-137-1730,710
2025-00,99-194-5600,771
2025-00,99-420-3592,461
2025-00,99-543-5039,383
2025-00,99-561-4871,673
2025-00,99-894-4351,593
2025-00,99-961-0767,125
2025-01,00-119-8780,394
2025-01,00-215-7434,511
2025-01,00-357-2313,1232
2025-01,00-366-9496,964
2025-01,00-405-7428,1241
2025-01,00-440-9568,1390
2025-01,00-534-9775,329
2025-01,00-641-8691,793
